old	kind	new	step	src	tests	presets	config	baseline	website_docs	benchmarks	finding_gate	frozen_kind	frozen_pin	leaf_const	leaf_pin
# THE DANGER THESE TWO COLUMNS MARK IS NOT THE ONE `frozen_kind` MARKS.
# The six frozen literals ARE among their row's counted src/tests
# occurrences, so a mechanical whole-identifier sweep would rename them. A
# leaf is counted NOWHERE in its row: the row's search identifier is
# `code-smell.eval`, and neither `'eval'` nor the bag key `codeSmell.eval`
# matches it. The mechanical sweep will therefore leave these alone by
# construction; what moves them is a CONSISTENCY rename done by hand ("the
# channel is now `code-smell.dynamic-eval`, so the constant should read
# `dynamic_eval`"). A nonzero `leaf_const` says: this channel has a
# snake_case twin outside the sweep's reach that MUST keep its pre-rename
# spelling, because moving it moves `occurrence` for every already-accepted
# baseline entry on the channel, exactly as with the six.
#
# The leaf's occurrences are not listed here either. Locating them for one
# channel needs `grep -rn "SMELL_TYPE = '<leaf>'\|PATTERN_TYPE = '<leaf>'"
# src/`, plus its list entry in `CodeSmellCollector::SMELL_TYPES` /
# `SecurityPatternCollector::PATTERN_TYPES`, its `CodeSmellLocation('<leaf>'`
# / equivalent producer literal in the capability's visitor, and the
# `'codeSmell.<leaf>'` / `'security.<leaf>'` bag keys throughout tests/.
# `tests/Analysis/Finding/Integration/OccurrenceLeafFreezeGuardTest.php`
# re-derives this set independently on every `composer test` run and fails if
# the twelve drift, if a leaf stops matching its own pin, or if a family
# loses its pin — a consistent sweep that renamed a leaf everywhere at once
# (src, collector, visitor and every test, which the full suite otherwise
# passes green) is caught there and nowhere else.
#
# WHAT THIS METHOD DOES NOT SEE:
#  - a name assembled at runtime (string concatenation, a value read from
#    `RuleMetadata::name` in code and stored under a different local
#    variable) is invisible to whole-identifier text matching, in exactly the
#    same way `enumeration-consumers.tsv` and `enumeration-rules.tsv` already
#    warn about grep-based extraction;
#  - `computed.*`/`health.*` beyond the six built-in health dimensions is
#    open-ended by construction — a user's own `computed_metrics:` entries in
#    their own qmx.yaml are not, and cannot be, enumerated here (same
#    boundary `enumeration-rules.tsv` names for `computed.health`);
#  - occurrence counts are OVERSTATED by prose that mentions a name in running
#    text without meaning "this literal identifier is written here" (a
#    website doc sentence that happens to contain the words), and
#    UNDERSTATED by string concatenation that assembles the identifier from
#    parts (`'design.' . 'type-coverage'`) or by a fixture line that
#    round-trips the name through a different serialization (e.g. escaped
#    slashes in a JSON string spanning what a plain-text regex reads as two
#    tokens);
#  - a channel's `ruleName` half is not counted on its own: for the channels
#    where `ruleName` differs from `violationCode` (the diagnostics on
#    `architecture.layer-violation` and `annotation.directive`), the
#    `ruleName` half's occurrences show up in the corresponding `producer`
#    row instead, because the two strings are identical text;
#  - `leaf_const`/`leaf_pin` bind a leaf to a channel by same-file
#    co-location with `NAME`. A family that split the two across files, or
#    computed either from parts, would not bind — the script fails loudly
#    rather than reporting zero, but the shape it can read is the one every
#    family uses today, not a general rule about PHP;
#  - `frozen_kind`/`frozen_pin` name WHICH channels carry protected
#    occurrences and HOW MANY, not WHERE (no file:line). Locating them for a
#    sweep still needs `grep -rn "OCCURRENCE_KIND = '<literal>'" src/` and
#    `grep -rln "itKeysOccurrenceToTheFrozenChannelSpelling" tests/` for that
#    one literal; both columns exist so a sweep knows it has to run those
#    greps at all, for exactly the rows where the count is nonzero.
